2022-04-20 14:59:51,256 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:59:51,256 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:00:31,897 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:00:31,897 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:00:31,897 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:04:54,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:04:54,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:04:54,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:06:13,378 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:06:13,378 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:06:13,378 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:08:01,126 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:08:01,126 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:08:01,126 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 15:10:42,914 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
